year,month,day_mean,day_sum,Carbon intensity gCO₂eq/kWh (direct)_mean,Carbon intensity gCO₂eq/kWh (direct)_sum,Carbon intensity gCO₂eq/kWh (Life cycle)_mean,Carbon intensity gCO₂eq/kWh (Life cycle)_sum,Carbon-free energy percentage (CFE%)_mean,Carbon-free energy percentage (CFE%)_sum,Renewable energy percentage (RE%)_mean,Renewable energy percentage (RE%)_sum,Data estimated_mean,Data estimated_sum,estimated_hour_flag_mean,estimated_hour_flag_sum,hourly_row_count_mean,hourly_row_count_sum,estimated_hour_share_mean,estimated_hour_share_sum,hour_mean,hour_sum,day_of_week_mean,day_of_week_sum,is_weekend_mean,is_weekend_sum,carbon_intensity_gap_mean,carbon_intensity_gap_sum,cfe_re_gap_mean,cfe_re_gap_sum,row_count_in_month_count
2021,1,16.0,496,575.4719623655914,17839.630833333333,624.0381989247312,19345.184166666666,24.08682795698925,746.6916666666667,23.949556451612903,742.43625,0.8064516129032258,25.0,19.35483870967742,600,24.0,744,0.8064516129032258,25.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,48.56623655913978,1505.5533333333333,0.13727150537634397,4.2554166666666635,31
2021,2,14.5,406,560.8447916666667,15703.654166666667,608.0488095238096,17025.36666666667,26.187916666666666,733.2616666666667,26.147068452380953,732.1179166666667,0.8571428571428571,24.0,20.571428571428573,576,24.0,672,0.8571428571428571,24.0,0.0,0,3.0,84,0.2857142857142857,8,47.20401785714286,1321.7125,0.04084821428571466,1.1437500000000105,28
2021,3,16.0,496,579.5714919354839,17966.71625,628.2766801075269,19476.577083333334,23.763306451612905,736.6625,23.31991935483871,722.9175,0.8051075268817204,24.958333333333332,19.322580645161292,599,24.0,744,0.8051075268817204,24.958333333333332,0.0,0,2.806451612903226,87,0.25806451612903225,8,48.70518817204299,1509.8608333333327,0.4433870967741946,13.745000000000031,31
2021,4,15.5,465,598.5584722222222,17956.754166666666,648.5552222222221,19456.656666666666,21.286763888888892,638.6029166666667,20.674180555555555,620.2254166666667,0.6361111111111111,19.083333333333332,15.266666666666667,458,24.0,720,0.6361111111111111,19.083333333333332,0.0,0,3.033333333333333,91,0.26666666666666666,8,49.99675,1499.9025,0.6125833333333338,18.377500000000015,30
2021,5,16.0,496,650.3193682795699,20159.900416666667,703.4270430107528,21806.238333333335,14.45885752688172,448.2245833333333,14.212352150537635,440.5829166666667,0.8064516129032258,25.0,19.35483870967742,600,24.0,744,0.8064516129032258,25.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,53.1076747311828,1646.3379166666666,0.24650537634408595,7.641666666666665,31
2021,6,15.5,465,673.1363888888889,20194.091666666667,728.3269305555555,21849.807916666665,11.39601388888889,341.8804166666667,10.350972222222223,310.5291666666667,0.6319444444444444,18.958333333333332,15.166666666666666,455,24.0,720,0.6319444444444444,18.958333333333332,0.0,0,2.9,87,0.26666666666666666,8,55.19054166666665,1655.7162499999995,1.0450416666666666,31.351249999999997,30
2021,7,16.0,496,651.3368817204301,20191.443333333333,705.6032930107527,21873.702083333334,14.204905913978495,440.3520833333333,12.525389784946237,388.2870833333333,0.6841397849462365,21.208333333333332,16.419354838709676,509,24.0,744,0.6841397849462365,21.208333333333332,0.0,0,3.096774193548387,96,0.2903225806451613,9,54.26641129032258,1682.25875,1.6795161290322578,52.06499999999999,31
2021,8,16.0,496,651.9891397849462,20211.663333333334,706.9997715053763,21916.992916666666,13.77755376344086,427.1041666666667,11.720672043010753,363.3408333333333,0.4368279569892473,13.541666666666666,10.483870967741936,325,24.0,744,0.4368279569892473,13.541666666666666,0.0,0,2.935483870967742,91,0.2903225806451613,9,55.0106317204301,1705.329583333333,2.0568817204301078,63.763333333333335,31
2021,9,15.5,465,654.4359583333334,19633.07875,709.6754722222223,21290.264166666668,13.262416666666667,397.8725,9.470125,284.10375,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.966666666666667,89,0.26666666666666666,8,55.23951388888887,1657.1854166666662,3.792291666666666,113.76874999999998,30
2021,10,16.0,496,680.3864112903225,21091.97875,737.2843279569893,22855.814166666667,9.951922043010754,308.50958333333335,8.61143817204301,266.95458333333335,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,56.89791666666666,1763.8354166666666,1.3404838709677416,41.554999999999986,31
