Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Kosovo,Kosovo,XK,593.51,645.19,21.1,19.2,entsoe.eu,false,""
2024-01-01T01:00:00.000000,Kosovo,Kosovo,XK,611.46,664.33,18.71,16.94,entsoe.eu,false,""
2024-01-01T02:00:00.000000,Kosovo,Kosovo,XK,642.66,697.31,14.65,13.4,entsoe.eu,false,""
2024-01-01T03:00:00.000000,Kosovo,Kosovo,XK,659.87,715.44,12.43,11.49,entsoe.eu,false,""
2024-01-01T04:00:00.000000,Kosovo,Kosovo,XK,668.5,724.51,11.32,10.69,entsoe.eu,false,""
2024-01-01T05:00:00.000000,Kosovo,Kosovo,XK,649.33,704.49,13.69,12.77,entsoe.eu,false,""
2024-01-01T06:00:00.000000,Kosovo,Kosovo,XK,644.25,698.99,14.38,13.61,entsoe.eu,false,""
2024-01-01T07:00:00.000000,Kosovo,Kosovo,XK,641.8,696.43,14.7,13.64,entsoe.eu,false,""
2024-01-01T08:00:00.000000,Kosovo,Kosovo,XK,641.96,696.5,14.76,13.75,entsoe.eu,false,""
2024-01-01T09:00:00.000000,Kosovo,Kosovo,XK,633.67,687.57,15.87,14.89,entsoe.eu,false,""
2024-01-01T10:00:00.000000,Kosovo,Kosovo,XK,626.7,680.26,16.79,15.6,entsoe.eu,false,""
2024-01-01T11:00:00.000000,Kosovo,Kosovo,XK,627.21,680.9,16.68,15.42,entsoe.eu,false,""
2024-01-01T12:00:00.000000,Kosovo,Kosovo,XK,613.61,666.41,18.47,17.31,entsoe.eu,false,""
2024-01-01T13:00:00.000000,Kosovo,Kosovo,XK,589.02,640.63,21.55,20.21,entsoe.eu,false,""
2024-01-01T14:00:00.000000,Kosovo,Kosovo,XK,580.44,631.53,22.65,21.27,entsoe.eu,false,""
2024-01-01T15:00:00.000000,Kosovo,Kosovo,XK,567.28,617.59,24.34,22.89,entsoe.eu,false,""
2024-01-01T16:00:00.000000,Kosovo,Kosovo,XK,562.91,612.79,24.96,23.61,entsoe.eu,false,""
2024-01-01T17:00:00.000000,Kosovo,Kosovo,XK,571.27,621.62,23.89,22.53,entsoe.eu,false,""
2024-01-01T18:00:00.000000,Kosovo,Kosovo,XK,571.01,621.33,23.95,22.48,entsoe.eu,false,""
2024-01-01T19:00:00.000000,Kosovo,Kosovo,XK,587.62,639.16,21.74,20.03,entsoe.eu,false,""
2024-01-01T20:00:00.000000,Kosovo,Kosovo,XK,606.26,659.17,19.26,17.36,entsoe.eu,false,""
2024-01-01T21:00:00.000000,Kosovo,Kosovo,XK,601.09,653.87,19.91,17.59,entsoe.eu,false,""
2024-01-01T22:00:00.000000,Kosovo,Kosovo,XK,597.22,649.76,20.42,18.01,entsoe.eu,false,""
2024-01-01T23:00:00.000000,Kosovo,Kosovo,XK,611.54,664.85,18.62,16.17,entsoe.eu,false,""
2024-01-02T00:00:00.000000,Kosovo,Kosovo,XK,622.78,676.82,17.12,14.75,entsoe.eu,false,""
2024-01-02T01:00:00.000000,Kosovo,Kosovo,XK,638.52,693.39,15.1,13.02,entsoe.eu,false,""
2024-01-02T02:00:00.000000,Kosovo,Kosovo,XK,655.42,711.25,12.89,11.19,entsoe.eu,false,""
2024-01-02T03:00:00.000000,Kosovo,Kosovo,XK,649.74,705.34,13.57,11.71,entsoe.eu,false,""
2024-01-02T04:00:00.000000,Kosovo,Kosovo,XK,643.78,699.11,14.29,12.42,entsoe.eu,false,""
2024-01-02T05:00:00.000000,Kosovo,Kosovo,XK,645.45,700.48,14.1,13.33,entsoe.eu,false,""
2024-01-02T06:00:00.000000,Kosovo,Kosovo,XK,628.98,682.61,16.37,15.91,entsoe.eu,false,""
2024-01-02T07:00:00.000000,Kosovo,Kosovo,XK,608.08,660.16,19.19,18.91,entsoe.eu,false,""
2024-01-02T08:00:00.000000,Kosovo,Kosovo,XK,567.12,616.2,24.78,24.6,entsoe.eu,false,""
2024-01-02T09:00:00.000000,Kosovo,Kosovo,XK,566.84,616.09,24.74,24.55,entsoe.eu,false,""
2024-01-02T10:00:00.000000,Kosovo,Kosovo,XK,594.33,645.15,21.2,21.13,entsoe.eu,false,""
2024-01-02T11:00:00.000000,Kosovo,Kosovo,XK,612.43,664.49,18.77,18.71,entsoe.eu,false,""
2024-01-02T12:00:00.000000,Kosovo,Kosovo,XK,620.86,673.53,17.63,17.53,entsoe.eu,false,""
2024-01-02T13:00:00.000000,Kosovo,Kosovo,XK,606.28,658.25,19.44,19.29,entsoe.eu,false,""
2024-01-02T14:00:00.000000,Kosovo,Kosovo,XK,585.0,635.67,22.24,21.92,entsoe.eu,false,""
2024-01-02T15:00:00.000000,Kosovo,Kosovo,XK,555.2,603.85,26.21,25.77,entsoe.eu,false,""
2024-01-02T16:00:00.000000,Kosovo,Kosovo,XK,556.9,605.52,26.02,25.67,entsoe.eu,false,""
2024-01-02T17:00:00.000000,Kosovo,Kosovo,XK,560.8,609.66,25.49,25.23,entsoe.eu,false,""
2024-01-02T18:00:00.000000,Kosovo,Kosovo,XK,559.21,607.98,25.69,25.47,entsoe.eu,false,""
2024-01-02T19:00:00.000000,Kosovo,Kosovo,XK,569.99,619.66,24.21,23.85,entsoe.eu,false,""
2024-01-02T20:00:00.000000,Kosovo,Kosovo,XK,580.32,630.89,22.78,22.09,entsoe.eu,false,""
2024-01-02T21:00:00.000000,Kosovo,Kosovo,XK,588.65,639.75,21.69,20.98,entsoe.eu,false,""
2024-01-02T22:00:00.000000,Kosovo,Kosovo,XK,588.37,639.81,21.64,20.38,entsoe.eu,false,""
2024-01-02T23:00:00.000000,Kosovo,Kosovo,XK,621.19,674.99,17.29,15.48,entsoe.eu,false,""
2024-01-03T00:00:00.000000,Kosovo,Kosovo,XK,643.84,698.75,14.42,12.99,entsoe.eu,false,""
2024-01-03T01:00:00.000000,Kosovo,Kosovo,XK,655.89,711.54,12.85,11.52,entsoe.eu,false,""
2024-01-03T02:00:00.000000,Kosovo,Kosovo,XK,664.39,720.35,11.8,10.79,entsoe.eu,false,""
2024-01-03T03:00:00.000000,Kosovo,Kosovo,XK,668.16,724.32,11.29,10.43,entsoe.eu,false,""
2024-01-03T04:00:00.000000,Kosovo,Kosovo,XK,659.82,715.61,12.36,11.17,entsoe.eu,false,""
2024-01-03T05:00:00.000000,Kosovo,Kosovo,XK,641.38,695.52,14.84,14.68,entsoe.eu,false,""
2024-01-03T06:00:00.000000,Kosovo,Kosovo,XK,613.94,666.48,18.41,18.09,entsoe.eu,false,""
2024-01-03T07:00:00.000000,Kosovo,Kosovo,XK,595.12,646.33,20.95,20.58,entsoe.eu,false,""
2024-01-03T08:00:00.000000,Kosovo,Kosovo,XK,574.29,624.09,23.73,23.3,entsoe.eu,false,""
2024-01-03T09:00:00.000000,Kosovo,Kosovo,XK,566.4,615.87,24.74,24.17,entsoe.eu,false,""
2024-01-03T10:00:00.000000,Kosovo,Kosovo,XK,558.9,607.74,25.78,25.36,entsoe.eu,false,""
2024-01-03T11:00:00.000000,Kosovo,Kosovo,XK,559.15,608.01,25.75,25.31,entsoe.eu,false,""
2024-01-03T12:00:00.000000,Kosovo,Kosovo,XK,564.68,613.75,25.03,24.81,entsoe.eu,false,""
2024-01-03T13:00:00.000000,Kosovo,Kosovo,XK,570.21,619.44,24.36,24.29,entsoe.eu,false,""
2024-01-03T14:00:00.000000,Kosovo,Kosovo,XK,566.62,615.31,24.96,24.94,entsoe.eu,false,""
2024-01-03T15:00:00.000000,Kosovo,Kosovo,XK,544.05,591.64,27.76,27.62,entsoe.eu,false,""
2024-01-03T16:00:00.000000,Kosovo,Kosovo,XK,540.56,587.65,28.31,28.26,entsoe.eu,false,""
2024-01-03T17:00:00.000000,Kosovo,Kosovo,XK,542.02,589.41,27.99,27.92,entsoe.eu,false,""
2024-01-03T18:00:00.000000,Kosovo,Kosovo,XK,547.43,595.38,27.19,27.1,entsoe.eu,false,""
2024-01-03T19:00:00.000000,Kosovo,Kosovo,XK,566.62,616.08,24.56,24.46,entsoe.eu,false,""
2024-01-03T20:00:00.000000,Kosovo,Kosovo,XK,592.14,643.48,21.09,21.01,entsoe.eu,false,""
2024-01-03T21:00:00.000000,Kosovo,Kosovo,XK,602.17,654.32,19.77,19.35,entsoe.eu,false,""
2024-01-03T22:00:00.000000,Kosovo,Kosovo,XK,608.81,661.61,18.82,18.07,entsoe.eu,false,""
2024-01-03T23:00:00.000000,Kosovo,Kosovo,XK,572.52,623.97,23.26,21.55,entsoe.eu,false,""
2024-01-04T00:00:00.000000,Kosovo,Kosovo,XK,606.16,660.08,18.74,16.73,entsoe.eu,false,""
2024-01-04T01:00:00.000000,Kosovo,Kosovo,XK,613.8,668.25,17.72,15.71,entsoe.eu,false,""
2024-01-04T02:00:00.000000,Kosovo,Kosovo,XK,623.31,678.17,16.5,14.97,entsoe.eu,false,""
2024-01-04T03:00:00.000000,Kosovo,Kosovo,XK,632.21,687.43,15.35,14.32,entsoe.eu,false,""
2024-01-04T04:00:00.000000,Kosovo,Kosovo,XK,619.93,674.17,16.96,16.37,entsoe.eu,false,""
2024-01-04T05:00:00.000000,Kosovo,Kosovo,XK,600.33,653.16,19.6,19.33,entsoe.eu,false,""
2024-01-04T06:00:00.000000,Kosovo,Kosovo,XK,557.08,606.61,25.53,25.37,entsoe.eu,false,""
2024-01-04T07:00:00.000000,Kosovo,Kosovo,XK,542.02,589.76,27.87,27.84,entsoe.eu,false,""
2024-01-04T08:00:00.000000,Kosovo,Kosovo,XK,530.74,579.17,28.76,28.24,entsoe.eu,false,""
2024-01-04T09:00:00.000000,Kosovo,Kosovo,XK,516.14,566.02,29.63,28.8,entsoe.eu,false,""
2024-01-04T10:00:00.000000,Kosovo,Kosovo,XK,511.78,562.06,29.88,29.05,entsoe.eu,false,""
2024-01-04T11:00:00.000000,Kosovo,Kosovo,XK,517.17,567.74,29.15,28.44,entsoe.eu,false,""
2024-01-04T12:00:00.000000,Kosovo,Kosovo,XK,522.26,571.34,29.32,28.99,entsoe.eu,false,""
2024-01-04T13:00:00.000000,Kosovo,Kosovo,XK,508.35,554.1,32.35,32.32,entsoe.eu,false,""
2024-01-04T14:00:00.000000,Kosovo,Kosovo,XK,489.31,534.26,34.63,34.45,entsoe.eu,false,""
2024-01-04T15:00:00.000000,Kosovo,Kosovo,XK,448.54,489.87,40.42,40.4,entsoe.eu,false,""
2024-01-04T16:00:00.000000,Kosovo,Kosovo,XK,465.92,508.43,38.03,37.88,entsoe.eu,false,""
2024-01-04T17:00:00.000000,Kosovo,Kosovo,XK,477.37,520.48,36.57,36.28,entsoe.eu,false,""
2024-01-04T18:00:00.000000,Kosovo,Kosovo,XK,478.25,521.81,36.3,35.89,entsoe.eu,false,""
2024-01-04T19:00:00.000000,Kosovo,Kosovo,XK,477.01,520.7,36.37,35.9,entsoe.eu,false,""
2024-01-04T20:00:00.000000,Kosovo,Kosovo,XK,495.91,541.48,33.69,32.68,entsoe.eu,false,""
2024-01-04T21:00:00.000000,Kosovo,Kosovo,XK,527.63,575.71,29.51,27.71,entsoe.eu,false,""
2024-01-04T22:00:00.000000,Kosovo,Kosovo,XK,529.19,577.41,29.34,27.37,entsoe.eu,false,""
2024-01-04T23:00:00.000000,Kosovo,Kosovo,XK,558.84,609.86,25.21,21.89,entsoe.eu,false,""
2024-01-05T00:00:00.000000,Kosovo,Kosovo,XK,563.42,614.91,24.52,20.99,entsoe.eu,false,""
2024-01-05T01:00:00.000000,Kosovo,Kosovo,XK,592.81,645.93,20.72,17.77,entsoe.eu,false,""
2024-01-05T02:00:00.000000,Kosovo,Kosovo,XK,604.0,657.75,19.27,16.68,entsoe.eu,false,""
2024-01-05T03:00:00.000000,Kosovo,Kosovo,XK,606.34,660.06,18.97,16.72,entsoe.eu,false,""
2024-01-05T04:00:00.000000,Kosovo,Kosovo,XK,617.3,671.26,17.54,16.31,entsoe.eu,false,""
2024-01-05T05:00:00.000000,Kosovo,Kosovo,XK,588.3,640.68,21.15,20.31,entsoe.eu,false,""
2024-01-05T06:00:00.000000,Kosovo,Kosovo,XK,543.06,591.76,27.4,26.89,entsoe.eu,false,""
2024-01-05T07:00:00.000000,Kosovo,Kosovo,XK,529.66,576.86,29.51,28.82,entsoe.eu,false,""
