Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01T00:00:00.000000,Kosovo,Kosovo,XK,559.19,608.41,26.47,22.0,entsoe.eu,false,""
2022-01-01T01:00:00.000000,Kosovo,Kosovo,XK,568.46,617.77,25.35,21.7,entsoe.eu,false,""
2022-01-01T02:00:00.000000,Kosovo,Kosovo,XK,596.85,648.16,21.58,17.74,entsoe.eu,false,""
2022-01-01T03:00:00.000000,Kosovo,Kosovo,XK,635.42,689.32,16.45,12.66,entsoe.eu,false,""
2022-01-01T04:00:00.000000,Kosovo,Kosovo,XK,635.82,689.36,16.45,12.91,entsoe.eu,false,""
2022-01-01T05:00:00.000000,Kosovo,Kosovo,XK,616.09,668.27,19.05,15.87,entsoe.eu,false,""
2022-01-01T06:00:00.000000,Kosovo,Kosovo,XK,629.93,682.81,17.27,14.3,entsoe.eu,false,""
2022-01-01T07:00:00.000000,Kosovo,Kosovo,XK,624.45,677.05,18.03,14.68,entsoe.eu,false,""
2022-01-01T08:00:00.000000,Kosovo,Kosovo,XK,601.37,652.44,21.1,17.6,entsoe.eu,false,""
2022-01-01T09:00:00.000000,Kosovo,Kosovo,XK,583.03,632.69,23.51,20.31,entsoe.eu,false,""
2022-01-01T10:00:00.000000,Kosovo,Kosovo,XK,565.51,614.07,25.79,22.67,entsoe.eu,false,""
2022-01-01T11:00:00.000000,Kosovo,Kosovo,XK,572.57,621.45,24.89,22.01,entsoe.eu,false,""
2022-01-01T12:00:00.000000,Kosovo,Kosovo,XK,572.9,621.81,24.78,22.3,entsoe.eu,false,""
2022-01-01T13:00:00.000000,Kosovo,Kosovo,XK,578.46,627.66,24.06,21.74,entsoe.eu,false,""
2022-01-01T14:00:00.000000,Kosovo,Kosovo,XK,565.66,613.96,25.65,23.74,entsoe.eu,false,""
2022-01-01T15:00:00.000000,Kosovo,Kosovo,XK,546.71,593.65,28.24,26.22,entsoe.eu,false,""
2022-01-01T16:00:00.000000,Kosovo,Kosovo,XK,533.17,579.24,30.11,27.68,entsoe.eu,false,""
2022-01-01T17:00:00.000000,Kosovo,Kosovo,XK,539.19,585.6,29.37,26.8,entsoe.eu,false,""
2022-01-01T18:00:00.000000,Kosovo,Kosovo,XK,540.0,586.43,29.24,26.79,entsoe.eu,false,""
2022-01-01T19:00:00.000000,Kosovo,Kosovo,XK,546.85,593.94,28.37,25.49,entsoe.eu,false,""
2022-01-01T20:00:00.000000,Kosovo,Kosovo,XK,567.54,616.38,25.55,22.32,entsoe.eu,false,""
2022-01-01T21:00:00.000000,Kosovo,Kosovo,XK,563.86,612.74,26.12,22.18,entsoe.eu,false,""
2022-01-01T22:00:00.000000,Kosovo,Kosovo,XK,570.98,620.24,25.25,21.08,entsoe.eu,false,""
2022-01-01T23:00:00.000000,Kosovo,Kosovo,XK,574.96,624.77,24.72,19.03,entsoe.eu,false,""
