Country,Zone name,Zone id,year,month,Carbon intensity gCO₂eq/kWh (direct)_mean,Carbon intensity gCO₂eq/kWh (direct)_sum,Carbon intensity gCO₂eq/kWh (Life cycle)_mean,Carbon intensity gCO₂eq/kWh (Life cycle)_sum,Carbon-free energy percentage (CFE%)_mean,Carbon-free energy percentage (CFE%)_sum,Renewable energy percentage (RE%)_mean,Renewable energy percentage (RE%)_sum,Data estimated_mean,Data estimated_sum,estimated_hour_flag_mean,estimated_hour_flag_sum,hourly_row_count_mean,hourly_row_count_sum,estimated_hour_share_mean,estimated_hour_share_sum,hour_mean,hour_sum,day_of_week_mean,day_of_week_sum,is_weekend_mean,is_weekend_sum,month_mean,month_sum,day_mean,day_sum,life_cycle_gap_mean,life_cycle_gap_sum,non_renewable_clean_gap_mean,non_renewable_clean_gap_sum,renewable_share_within_cfe_mean,renewable_share_within_cfe_sum,iqr_outlier_count_mean,iqr_outlier_count_sum,zscore_outlier_count_mean,zscore_outlier_count_sum,isolation_forest_flag_mean,isolation_forest_flag_sum,outlier_consensus_count_mean,outlier_consensus_count_sum,outlier_consensus_flag_mean,outlier_consensus_flag_sum,year_mean,year_sum,row_count_count
Kosovo,Kosovo,XK,2021,1,575.4719623655914,17839.630833333333,624.0381989247312,19345.184166666666,24.08682795698925,746.6916666666667,23.949556451612903,742.43625,0.8064516129032258,25.0,19.35483870967742,600,24.0,744,0.8064516129032258,25.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,1.0,31,16.0,496,48.56623655913978,1505.5533333333333,0.13727150537634422,4.255416666666671,0.9933992587520228,30.795377021312706,2.935483870967742,91,2.4193548387096775,75,0.9354838709677419,29,2.7096774193548385,84,0.9354838709677419,29,2021.0,62651,31
Kosovo,Kosovo,XK,2021,2,560.8447916666667,15703.654166666667,608.0488095238096,17025.36666666667,26.187916666666666,733.2616666666667,26.147068452380953,732.1179166666667,0.8571428571428571,24.0,20.571428571428573,576,24.0,672,0.8571428571428571,24.0,0.0,0,3.0,84,0.2857142857142857,8,2.0,56,14.5,406,47.20401785714286,1321.7125,0.04084821428571476,1.1437500000000131,0.9983269301844281,27.953154045163988,2.892857142857143,81,2.5714285714285716,72,0.8928571428571429,25,2.7142857142857144,76,0.8928571428571429,25,2021.0,56588,28
Kosovo,Kosovo,XK,2021,3,579.5714919354839,17966.71625,628.2766801075269,19476.577083333334,23.763306451612905,736.6625,23.31991935483871,722.9175,0.8051075268817204,24.958333333333332,19.322580645161292,599,24.0,744,0.8051075268817204,24.958333333333332,0.0,0,2.806451612903226,87,0.25806451612903225,8,3.0,93,16.0,496,48.70518817204299,1509.8608333333327,0.4433870967741936,13.745000000000001,0.9812663719686695,30.419257531028755,2.6129032258064515,81,2.3225806451612905,72,0.8709677419354839,27,2.5161290322580645,78,0.8709677419354839,27,2021.0,62651,31
Kosovo,Kosovo,XK,2021,4,598.5584722222222,17956.754166666666,648.5552222222221,19456.656666666666,21.286763888888892,638.6029166666667,20.674180555555555,620.2254166666667,0.6361111111111111,19.083333333333332,15.266666666666667,458,24.0,720,0.6361111111111111,19.083333333333332,0.0,0,3.033333333333333,91,0.26666666666666666,8,4.0,120,15.5,465,49.99675,1499.9025,0.6125833333333335,18.377500000000005,0.9712180638998955,29.136541916996865,2.6,78,1.3,39,0.8666666666666667,26,2.1666666666666665,65,0.8666666666666667,26,2021.0,60630,30
Kosovo,Kosovo,XK,2021,5,650.3193682795699,20159.900416666667,703.4270430107528,21806.238333333335,14.45885752688172,448.2245833333333,14.212352150537635,440.5829166666667,0.8064516129032258,25.0,19.35483870967742,600,24.0,744,0.8064516129032258,25.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,5.0,155,16.0,496,53.1076747311828,1646.3379166666666,0.24650537634408576,7.641666666666659,0.9786388452597494,30.337804203052233,2.806451612903226,87,2.032258064516129,63,0.9354838709677419,29,2.5483870967741935,79,0.9354838709677419,29,2021.0,62651,31
Kosovo,Kosovo,XK,2021,6,673.1363888888889,20194.091666666667,728.3269305555555,21849.807916666665,11.39601388888889,341.8804166666667,10.350972222222223,310.5291666666667,0.6319444444444444,18.958333333333332,15.166666666666666,455,24.0,720,0.6319444444444444,18.958333333333332,0.0,0,2.9,87,0.26666666666666666,8,6.0,180,15.5,465,55.19054166666665,1655.7162499999995,1.0450416666666666,31.35125,0.907178733596868,27.215362007906037,2.8,84,1.0,30,0.9333333333333333,28,2.2,66,0.9333333333333333,28,2021.0,60630,30
Kosovo,Kosovo,XK,2021,7,651.3368817204301,20191.443333333333,705.6032930107527,21873.702083333334,14.204905913978495,440.3520833333333,12.525389784946237,388.2870833333333,0.6841397849462365,21.208333333333332,16.419354838709676,509,24.0,744,0.6841397849462365,21.208333333333332,0.0,0,3.096774193548387,96,0.2903225806451613,9,7.0,217,16.0,496,54.26641129032258,1682.25875,1.6795161290322582,52.065000000000005,0.8751588987064542,27.12992585990008,2.5161290322580645,78,1.5483870967741935,48,0.8387096774193549,26,2.193548387096774,68,0.8387096774193549,26,2021.0,62651,31
Kosovo,Kosovo,XK,2021,8,651.9891397849462,20211.663333333334,706.9997715053763,21916.992916666666,13.77755376344086,427.1041666666667,11.720672043010753,363.3408333333333,0.4368279569892473,13.541666666666666,10.483870967741936,325,24.0,744,0.4368279569892473,13.541666666666666,0.0,0,2.935483870967742,91,0.2903225806451613,9,8.0,248,16.0,496,55.0106317204301,1705.329583333333,2.0568817204301073,63.76333333333333,0.8314410462973544,25.774672435217987,2.4516129032258065,76,0.6774193548387096,21,0.8064516129032258,25,1.8709677419354838,58,0.8064516129032258,25,2021.0,62651,31
Kosovo,Kosovo,XK,2021,9,654.4359583333334,19633.07875,709.6754722222223,21290.264166666668,13.262416666666667,397.8725,9.470125,284.10375,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.966666666666667,89,0.26666666666666666,8,9.0,270,15.5,465,55.23951388888887,1657.1854166666662,3.7922916666666664,113.76875,0.7172835962775632,21.518507888326898,1.2,36,0.36666666666666664,11,0.36666666666666664,11,1.5,45,0.43333333333333335,13,2021.0,60630,30
Kosovo,Kosovo,XK,2021,10,680.3864112903225,21091.97875,737.2843279569893,22855.814166666667,9.951922043010754,308.50958333333335,8.61143817204301,266.95458333333335,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,10.0,310,16.0,496,56.89791666666666,1763.8354166666666,1.3404838709677418,41.55499999999999,0.8478987583796025,26.284861509767676,0.06451612903225806,2,0.0,0,0.03225806451612903,1,0.0967741935483871,3,0.0,0,2021.0,62651,31
